药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
zoumatai,走马胎,Zǒu Mǎ Tāi,血枫、山鼠、山猪药、走马风,,,https://www.zysj.com.cn/zhongyaocai/zoumatai/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:26
zoumajian,走马箭,,走马风、蒴藿根、陆英根、接骨木、排风藤、七叶根、掌落根。,,,https://www.zysj.com.cn/zhongyaocai/zoumajian/index.html,1,其他,2025-12-21 21:41:26
zoubianjiang,走边疆,Zǒu Biān Jiānɡ,红铧头草,,,https://www.zysj.com.cn/zhongyaocai/zoubianjiang/index.html,1,《中药大辞典》,2025-12-21 21:41:27
zoujingdanshen,走茎丹参,Zǒu Jīnɡ Dān Shēn,乌痧草（《广西药植名录》）。,,,https://www.zysj.com.cn/zhongyaocai/zoujingdanshen/index.html,1,《中药大辞典》,2025-12-21 21:41:27
zouyoucao,走游草,Zǒu Yóu Cǎo,爬山虎、藤五甲、红五加、五爪金龙,,,https://www.zysj.com.cn/zhongyaocai/zouyoucao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:27
zheshi,赭石,Zhě Shí,代赭石、钉头赭石、红石头,,,https://www.zysj.com.cn/zhongyaocai/zheshi/index.html,1,《中国药典》,2025-12-21 21:41:27
zhantangxiang,詹糖香,Zhān Tánɡ Xiānɡ,,,,https://www.zysj.com.cn/zhongyaocai/zhantangxiang/index.html,1,《中华本草》,2025-12-21 21:41:28
zhuangshijuanbai,装饰卷柏,Zhuānɡ Shì Juǎn Bǎi,缘毛卷柏、毛鹿卷柏、大理卷柏,,,https://www.zysj.com.cn/zhongyaocai/zhuangshijuanbai/index.html,1,《中华本草》,2025-12-21 21:41:28
zhanglang,蟑螂,Zhānɡ Lánɡ,偷油婆、蜚蠊,,,https://www.zysj.com.cn/zhongyaocai/zhanglang/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:28
zhechong,蟅虫,Zhè Chónɡ,地鳖（《本经》），土鳖（《别录》），过街（《埤雅》），簸箕虫（《本草衍义》），蚵蚾虫（《袖珍方》），地婢虫（《鲍氏小儿方》），山蟑螂（《本草求原》），地乌龟（《分类草药性》），土元（《中药形性经验鉴别法》），臭虫母、盖子虫（《河北药材》），土虫（《吉林中草药》），节节虫、蚂蚁虎（《江苏药材志》）。,,,https://www.zysj.com.cn/zhongyaocai/zhechong/index.html,1,《中药大辞典》,2025-12-21 21:41:28
zhidang,螲蟷,Zhì Dānɡ,土蜘蛛、蛈蝪（《尔雅》），颠蟷虫（《本草拾遗》），蛈母（《纲目》）。,,,https://www.zysj.com.cn/zhongyaocai/zhidang/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:29
zhizhuxiang,蜘蛛香,Zhī Zhū Xiānɡ,马蹄香、土细辛、心叶缬草、养心莲、养血莲、臭药、乌参、猫儿屎、老虎七、香草,,,https://www.zysj.com.cn/zhongyaocai/zhizhuxiang/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:29
zhizhutuike,蜘蛛蜕壳,Zhī Zhū Tuì Ké,蜘蛛壳（《备急方》）。,,,https://www.zysj.com.cn/zhongyaocai/zhizhutuike/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:29
zhizhucao,蜘蛛草,,大叶球子草、大叶入地蜈蚣,,,https://www.zysj.com.cn/zhongyaocai/zhizhucao/index.html,1,《全国中草药汇编》,2025-12-21 21:41:29
zhizhuwang,蜘蛛网,Zhī Zhū Wǎnɡ,蜘蛛膜（《千金方》），蜘蛛丝（《纲目》）。,,,https://www.zysj.com.cn/zhongyaocai/zhizhuwang/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:30
zhizhuguojingye,蜘蛛果茎叶,Zhī Zhū Guǒ Jīnɡ Yè,,,,https://www.zysj.com.cn/zhongyaocai/zhizhuguojingye/index.html,1,《中华本草》,2025-12-21 21:41:30
zhizhuguo,蜘蛛果,Zhī Zhū Guǒ,肉算盘、山荸荠,,,https://www.zysj.com.cn/zhongyaocai/zhizhuguo/index.html,2,《全国中草药汇编》;《中药大辞典》,2025-12-21 21:41:30
zhizhubaodan,蜘蛛抱蛋,Zhī Zhū Bào Dàn,大叶万年青、竹叶盘、九龙盘、竹节伸筋、赶山鞭、斩龙剑,,,https://www.zysj.com.cn/zhongyaocai/zhizhubaodan/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:30
